"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",5,0.0166112956810631,0.12802270009123,0.0163898117386489,0,0,0,0,1,7.56418481344103,58.2168918918919,2.99914101841013e-35,0.00603919386607654
"Blob",11,0.0365448504983389,0.204922803713319,0.0419933554817276,0,0,0,0,2,6.05438626206573,42.8950947698018,2.63411543324544e-34,4.57394822017676e-09
"ClassDataShouldBePrivate",12,0.0398671096345515,0.19597274201944,0.0384053156146179,0,0,0,0,1,4.70370660486842,23.1248558246828,5.91512466818654e-34,8.50389029194432e-08
"ComplexClass",19,0.0631229235880399,0.243588891726937,0.0593355481727575,0,0,0,0,1,3.59297664196175,13.9094811496827,6.79586283427782e-33,5.30686605770825e-14
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",5,0.0166112956810631,0.12802270009123,0.0163898117386489,0,0,0,0,1,7.56418481344103,58.2168918918919,2.99914101841013e-35,0.00342811334189186
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",36,0.119601328903654,0.325035137379886,0.105647840531561,0,0,0,0,1,2.34455969591625,6.49696016771489,8.37297869439309e-31,0
"MessageChains",1,0.00332225913621262,0.0576390417704235,0.00332225913621262,0,0,0,0,1,17.2627730487698,299.003333333333,2.96486514190794e-36,1.11022302462516e-16
"RefusedParentBequest",110,0.365448504983389,1.78680409712595,3.19266888150609,0,0,0,0,30,15.2615510544873,253.086586729622,9.86717305288313e-35,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",5,0.0166112956810631,0.12802270009123,0.0163898117386489,0,0,0,0,1,7.56418481344103,58.2168918918919,2.99914101841013e-35,0.02031816890131
"SwissArmyKnife",4,0.0132890365448505,0.11470024489687,0.013156146179402,0,0,0,0,1,8.50079219916991,73.263468013468,1.80818503230856e-35,0.00979529414119884
"NumOfAPs",208,0.691029900332226,1.87995193265759,3.53421926910299,0,0,0,1,30,12.7414465806255,197.735269223079,9.85175683301377e-33,0
