"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","3","","-0.0229508196721311","-0.136612021857923","0.0404371584699454","","-0.243715846994535","","0.0426229508196721","-0.263387978142076","0.0557377049180328","","0.104918032786885",""
"Blob","7","0.0280018984337921","","-0.100616990982439","-0.414807783578548","","-0.205980066445183","","-0.420028476506882","-0.0821072615092549","-0.0355956336022781","","0.106312292358804",""
"ClassDataShouldBePrivate","20","-0.213888888888889","-0.173784722222222","","-0.182465277777778","","-0.140625","","-0.250520833333333","-0.157986111111111","0.283333333333333","","0.111111111111111",""
"ComplexClass","11","-0.0241812059993878","-0.367921640648913","-0.185185185185185","","","-0.198653198653199","","-0.114784205693297","-0.122130394857668","-0.193755739210285","","0.107744107744108",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","9","0.0583426235600149","0.0089186176142698","0.075436640654032","0.0427350427350427","","","","0.0665180230397622","0.0568561872909699","0.222222222222222","","0.107023411371237",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","18","-0.060727969348659","-0.270498084291188","-0.198467432950192","-0.0967432950191571","","-0.0980842911877395","","","0.00268199233716475","-0.0434865900383142","","0.0528735632183908",""
"MessageChains","4","-0.364309210526316","-0.272203947368421","-0.824835526315789","-0.236842105263158","","0.0542763157894737","","-0.171875","","0.229440789473684","","0.0789473684210526",""
"RefusedParentBequest","19","0.0531779275177563","0.0865051903114187","0.0999817883809871","-0.0542706246585321","","0.0178473866326716","","-0.00382443999271534","0.0588235294117647","","","-0.00382443999271535",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","3","0.160655737704918","0.242622950819672","0.19016393442623","0.291803278688525","","0.0721311475409836","","0.0666666666666667","0.0557377049180328","-0.237158469945355","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
